measure,phase,n_values,n_non_missing,n_missing,prop_non_missing
co,baseline,4800,4631,169,0.9647916666666667
co,gameplay,4800,0,4800,0
co,recovery,4800,4627,173,0.9639583333333334
dbp,baseline,4800,4631,169,0.9647916666666667
dbp,gameplay,4800,0,4800,0
dbp,recovery,4800,4627,173,0.9639583333333334
hr,baseline,4800,4641,159,0.966875
hr,gameplay,4800,4637,163,0.9660416666666667
hr,recovery,4800,4642,158,0.9670833333333333
hrv,baseline,4800,4643,157,0.9672916666666667
hrv,gameplay,4800,4635,165,0.965625
hrv,recovery,4800,4640,160,0.9666666666666667
sbp,baseline,4800,4631,169,0.9647916666666667
sbp,gameplay,4800,0,4800,0
sbp,recovery,4800,4627,173,0.9639583333333334
tpr,baseline,4800,4631,169,0.9647916666666667
tpr,gameplay,4800,0,4800,0
tpr,recovery,4800,4627,173,0.9639583333333334
