target,predictor,mean_rank,median_rank,mean_normalized_importance,n_models_available
hr_gameplay_sd_mean_across_matches,alexithymia_t1,1.6666666666666667,1,1,3
hr_gameplay_sd_mean_across_matches,positive_affect_t1,2.6666666666666665,2,1,3
hr_gameplay_sd_mean_across_matches,gad2_t1,3.3333333333333335,3,1,3
hr_gameplay_sd_mean_across_matches,negative_affect_t1,6,6,1,3
hr_gameplay_sd_mean_across_matches,ebq_positive_controllability_t1,6.666666666666667,7,1,3
hr_gameplay_sd_mean_across_matches,body_awareness_t1,9.333333333333334,10,1,3
hr_gameplay_sd_mean_across_matches,ress_engagement_t1,9.333333333333334,11,1,3
hr_gameplay_sd_mean_across_matches,fixed_mindset_t1,9.666666666666666,8,1,3
hr_gameplay_sd_mean_across_matches,flourishing_t1,10.333333333333334,11,1,3
hr_gameplay_sd_mean_across_matches,ress_reappraisal_t1,10.666666666666666,9,1,3
hr_peak_reactivity_mean_across_matches,phq2_t1,4.666666666666667,1,0.6666666666666666,3
hr_peak_reactivity_mean_across_matches,ress_distraction_t1,7.333333333333333,7,0.6666666666666666,3
hr_peak_reactivity_mean_across_matches,ebq_positive_usefulness_t1,7.5,7.5,0.5,2
hr_peak_reactivity_mean_across_matches,body_awareness_t1,7.666666666666667,9,0.6666666666666666,3
hr_peak_reactivity_mean_across_matches,ebq_negative_controllability_t1,7.666666666666667,9,0.6666666666666666,3
hr_peak_reactivity_mean_across_matches,ebq_positive_controllability_t1,7.666666666666667,6,0.6666666666666666,3
hr_peak_reactivity_mean_across_matches,negative_affect_t1,7.666666666666667,7,0.6666666666666666,3
hr_peak_reactivity_mean_across_matches,ress_rumination_t1,8.5,8.5,0.5,2
hr_peak_reactivity_mean_across_matches,flourishing_t1,10.333333333333334,11,0.6666666666666666,3
hr_peak_reactivity_mean_across_matches,self_esteem_t1,11,11,0.5,2
hr_reactivity_mean_across_matches,phq2_t1,5.333333333333333,2,0.6666666666666666,3
hr_reactivity_mean_across_matches,ebq_positive_usefulness_t1,6.5,6.5,0.5,2
hr_reactivity_mean_across_matches,alexithymia_t1,7.5,7.5,0.5,2
hr_reactivity_mean_across_matches,flourishing_t1,7.666666666666667,8,0.6666666666666666,3
hr_reactivity_mean_across_matches,ress_distraction_t1,7.666666666666667,6,0.6666666666666666,3
hr_reactivity_mean_across_matches,ebq_positive_controllability_t1,8,8,0.5,2
hr_reactivity_mean_across_matches,negative_affect_t1,8.333333333333334,7,0.6666666666666666,3
hr_reactivity_mean_across_matches,ress_engagement_t1,8.5,8.5,0.5,2
hr_reactivity_mean_across_matches,swls3_t1,9.333333333333334,9,0.6666666666666666,3
hr_reactivity_mean_across_matches,stress_debilitating_mindset_t1,10.666666666666666,12,0.6666666666666666,3
hr_recovery_delta_mean_across_matches,phq2_t1,4.666666666666667,1,0.6666666666666666,3
hr_recovery_delta_mean_across_matches,swls3_t1,7,5,0.6666666666666666,3
hr_recovery_delta_mean_across_matches,ress_reappraisal_t1,8.333333333333334,10,0.6666666666666666,3
hr_recovery_delta_mean_across_matches,ebq_negative_usefulness_t1,8.666666666666666,8,0.6666666666666666,3
hr_recovery_delta_mean_across_matches,negative_affect_t1,8.666666666666666,10,0.6666666666666666,3
hr_recovery_delta_mean_across_matches,alexithymia_t1,9,12,0.6666666666666666,3
hr_recovery_delta_mean_across_matches,flourishing_t1,9,9,0.5,2
hr_recovery_delta_mean_across_matches,ress_rumination_t1,9.5,9.5,0.5,2
hr_recovery_delta_mean_across_matches,ebq_positive_controllability_t1,9.666666666666666,9,0.6666666666666666,3
hr_recovery_delta_mean_across_matches,gaming_disorder_t1,9.666666666666666,12,0.6666666666666666,3
