target,model,mean_rmse,sd_rmse,mean_mae,sd_mae,mean_rsq,sd_rsq
hr_gameplay_sd_mean_across_matches,Baseline mean,1.0603317789197122,0.12531067172787214,0.8105319938137496,0.08258554600069962,-0.021172556748013188,0.022779368706189483
hr_gameplay_sd_mean_across_matches,Elastic Net,1.0621122440784663,0.1276755439097889,0.8147080163674232,0.08663295174633748,-0.024773514269662913,0.05106957679440393
hr_gameplay_sd_mean_across_matches,Linear regression,1.0877607887434386,0.12873855309275892,0.8346420527974718,0.09005257251667562,-0.08277387917001748,0.13914266513684256
hr_gameplay_sd_mean_across_matches,Random Forest,1.0918686348168185,0.13282450211779354,0.8448355442039539,0.08886776157177265,-0.08584529059017558,0.10105011954845079
hr_gameplay_sd_mean_across_matches,XGBoost,1.0960439276273561,0.13287218717688398,0.8431826872313786,0.09310935389450803,-0.09794514313683993,0.1419638862503814
hr_peak_reactivity_mean_across_matches,Baseline mean,6.408728499275108,0.6342481533764166,5.230461791383834,0.5576573168685879,-0.034677745232890834,0.03873777481331928
hr_peak_reactivity_mean_across_matches,Elastic Net,6.427640410682837,0.6306910032313041,5.246849038578317,0.5490217669025435,-0.04098905060256683,0.04376425368470202
hr_peak_reactivity_mean_across_matches,Random Forest,6.693938814703982,0.6417947225280164,5.457163324537464,0.5428701244452927,-0.13091000320467508,0.07426603486242458
hr_peak_reactivity_mean_across_matches,XGBoost,6.8322449596039565,0.720965809592372,5.553697851027383,0.5955763482975336,-0.18251086474651776,0.1540334877502468
hr_peak_reactivity_mean_across_matches,Linear regression,6.864420829837968,0.6558793530395992,5.57179085656126,0.5594284837838425,-0.19255096496978308,0.11525547424030796
hr_reactivity_mean_across_matches,Baseline mean,6.01535495381289,0.4829000620303257,4.894954930628804,0.432947403274003,-0.02961259245781213,0.045139115112280005
hr_reactivity_mean_across_matches,Elastic Net,6.032909569518437,0.4702963901587207,4.910446137229778,0.42033877155363164,-0.03606385971116215,0.04875618783538567
hr_reactivity_mean_across_matches,Random Forest,6.296005991952349,0.4819953385068553,5.129630400849897,0.4265321524418928,-0.1295923562337482,0.06923045131715633
hr_reactivity_mean_across_matches,XGBoost,6.42968357947324,0.5831524186045,5.231185507310293,0.5088092802068358,-0.1826561208980344,0.15637370315797847
hr_reactivity_mean_across_matches,Linear regression,6.437465021112214,0.48558134980490786,5.21942853371339,0.4508786150257182,-0.1842371363227052,0.1132764079599502
hr_recovery_delta_mean_across_matches,Baseline mean,6.169411714724245,0.4837758845494098,5.043615542307651,0.40115133586298174,-0.021546108832618777,0.030853419835692467
hr_recovery_delta_mean_across_matches,Elastic Net,6.185696253214964,0.4851304224167446,5.055059158192958,0.4016004146849765,-0.02693746646091986,0.033683496848679384
hr_recovery_delta_mean_across_matches,Random Forest,6.380971130497382,0.4574371123252665,5.220734589323947,0.4007309388029714,-0.09646656575805479,0.08489382285652047
hr_recovery_delta_mean_across_matches,XGBoost,6.523351601155607,0.5404107677396927,5.31254158362612,0.4644572533790813,-0.15254806262770934,0.17811762809785966
hr_recovery_delta_mean_across_matches,Linear regression,6.6015084426443815,0.4612855490193139,5.338696272209332,0.3708246860625716,-0.17982721890992534,0.15487055463933733
