Predictor,N valid,Missing,Mean,SD,Min,Median,Max
GAD-2,287,2 (0.7%),1.89,1.28,0.00,2.00,6.00
PHQ-2,288,1 (0.3%),1.88,1.29,0.00,2.00,6.00
Flourishing,288,1 (0.3%),5.52,0.74,2.75,5.50,7.00
Satisfaction with life,288,1 (0.3%),4.24,1.14,1.00,4.33,7.00
Stress-debilitating mindset,287,2 (0.7%),4.60,1.49,1.00,4.67,7.00
Fixed mindset,287,2 (0.7%),3.88,1.51,1.00,4.00,7.00
Gaming disorder,288,1 (0.3%),7.64,2.83,4.00,7.00,19.00
Alexithymia,288,1 (0.3%),2.92,1.00,1.00,2.83,6.33
Body awareness,288,1 (0.3%),4.74,0.68,2.67,4.78,6.61
EBQ negative controllability,287,2 (0.7%),10.18,3.60,4.00,10.00,24.00
EBQ negative usefulness,288,1 (0.3%),11.34,3.99,4.00,11.00,24.00
EBQ positive controllability,288,1 (0.3%),13.60,4.87,4.00,14.00,26.00
EBQ positive usefulness,287,2 (0.7%),6.98,2.95,4.00,6.00,18.00
Positive affect,285,4 (1.4%),2.73,0.55,1.25,2.75,4.00
Negative affect,286,3 (1.0%),1.97,0.55,1.00,1.75,3.75
RESS relaxation,288,1 (0.3%),5.23,1.65,1.00,6.00,7.00
RESS engagement,288,1 (0.3%),5.00,1.75,1.00,6.00,7.00
RESS rumination,288,1 (0.3%),5.06,1.58,1.00,5.00,7.00
RESS reappraisal,288,1 (0.3%),5.36,1.37,1.00,6.00,7.00
RESS distraction,288,1 (0.3%),5.18,1.61,1.00,6.00,7.00
RESS suppression,288,1 (0.3%),4.07,1.76,1.00,4.00,7.00
Self-esteem,287,2 (0.7%),4.68,1.34,1.00,5.00,7.00
Self-rated health,287,2 (0.7%),3.75,0.76,2.00,4.00,5.00
